,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"TELEGRAM
 CHANNEL",,⚠️ Sign Up For 165$ In Coupons⚠️,,,,,,,,,,,,,,,,,
,BEST FINDS/LINKS FOR EVERYTHING (ALL BRAND CATEGORIZED):,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Discord,TIKTOK,,,SHOES,,"T-SHIRTS
& SHORTS ",,,,"HOODIES 
& PANTS",,JACKETS,,,BAGS,,ACCESSOIRES,,
,,,,,,,,,,,,,,,,,,,,
,,,,,CAPS,,ELECTRONICS,,,,WALLETS,,BELTS,,,ACCESSOIRES,,,,
,USE CTRL+F TO SEARCH THE BRAND OR CLICK ON THE BRAND NAME,,,,,,,,,,,,,,,,,,,
,US Dollar Exchange Rate,6.50$,,,,"Please do not delete, modify according to AC BUY exchange rate
Hide immediately after modification",,,,,,,,,,,,,,
,Euro exchange rate,7.52€,,,,,,,,,,,,,,,,,,
,"🔥MOST POPULAR ITEMS🔥
Change zoom to 50% For the best experience",,,,,,,,,,,,,,,,,,,
,BOOKMARK THIS SPREADSHEET,,,,,,,,,,,,,,,,,,,
,Mertra baggy Jeans (blue),LINK,209,32.15$,,Mertra baggy jeans (black),LINK,209,32.15$,,Mertra bigstep hoodie,LINK,219,33.69$,,Mertra double Hood ,LINK,230,35.38$,
,,,,27.79€,,,,,27.79€,,,,,29.12€,,,,,30.59€,
,Mertra new logo (double pocket) joggers,LINK,210,32.31$,,Mertra windbreaker water reactive,LINK,350,53.85$,,Mertra Bigstep joggers,LINK,199,30.62$,,Mertra Heat reactive ,LINK,500,76.92$,
,,,,27.93€,,,,,46.54€,,,,,26.46€,,,,,66.49€,
,Derschutze Koi Jeans ,LINK,195,30.00$,,Derschutze Rio jeans,LINK,210,32.31$,,Mertra belt (1:1),LINK,195,30.00$,,Nike Vintage milan polo shirt,LINK,145,22.31$,
,,,,25.93€,,,,,27.93€,,,,,25.93€,,,,,19.28€,
,Derschutze Blossom jeans,LINK,210,32.31$,,Derschutze Venus jeans,LINK,200,30.77$,,Derschutze blossom,LINK,115,17.69$,,Under armour Gym shirt,LINK,56,8.62$,
,,,,27.93€,,,,,26.60€,,,,,15.29€,,,,,7.45€,
,Best Budget CP COMPANY Jacket,LINK,280,43.08$,,Supreme Tns,LINK,150,23.08$,,,,,,,,,,,
,,,,37.23€,,,,,19.95€,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,PRODUCT,"joyagoo
LINK",,PRICE,IMAGE,PRODUCT,"joyagoo
LINK",,PRICE,IMAGE,PRODUCT,"joyagoo
LINK",,PRICE,IMAGE,PRODUCT,"joyagoo
LINK",,PRICE,IMAGE
,"Nike socks
(Take 1 and you get 3)",LINK,20,3.08$,,Nike Jordan 1,LINK,300,46.15$,,[Budget] Air Force 1,LINK,88,13.54$,,Yeezy 350,LINK,180,27.69$,
,,,,2.66€,,,,,39.89€,,,,,11.70€,,,,,23.94€,
,BEST Adidas Samba,LINK,158,24.31$,,Budget Nike Jordan 4,LINK,270,41.54$,,More Dior B30,LINK,260,40.00$,,McQueen Crocs 🔥,LINK,160,24.62$,
,,,,21.01€,,,,,35.90€,,,,,34.57€,,,,,21.28€,
,New Balance 530,LINK,180,27.69$,,LV Skates,LINK,520,80.00$,,Best Nike Shox,LINK,270,41.54$,,Adidas Campus,LINK,210,32.31$,
,,,,23.94€,,,,,69.15€,,,,,35.90€,,,,,27.93€,
,Balenciaga Tracks,LINK,410,63.08$,,1:1 Nike Air Max TN,LINK,210,32.31$,,BEST 1:1 LV Trainers,LINK,390,60.00$,,Asics Gel Kayano 14,LINK,240,36.92$,
,,,,54.52€,,,,,27.93€,,,,,51.86€,,,,,31.91€,
,Alexander McQueens,LINK,310,47.69$,,1:1 Bapestas,LINK,280,43.08$,,1:1 Nike Dunks,LINK,225,34.62$,,More 1:1 Air Force 1,LINK,228,35.08$,
,,,,41.22€,,,,,37.23€,,,,,29.92€,,,,,30.32€,
,Basic Air Force 1,LINK,140,21.54$,,Yeezy Slides,LINK,120,18.46$,,Off-White Out Of Office ,LINK,380,58.46$,,Air Jordan 11,LINK,300,46.15$,
,,,,18.62€,,,,,15.96€,,,,,50.53€,,,,,39.89€,
,Budget Travis Scott Jordan 1,LINK,180,27.69$,,1:1 Nike Air Max 95,LINK,280,43.08$,,Jordan 3,LINK,260,40.00$,,Air Force 1 x Supreme,LINK,220,33.85$,
,,,,23.94€,,,,,37.23€,,,,,34.57€,,,,,29.26€,
,Nike Nocta Glides,LINK,380,58.46$,,1:1 Dior B27 Highs,LINK,500,76.92$,,Rope Lace Air Force 1,LINK,240,36.92$,,Nike P-6000,LINK,278,42.77$,
,,,,50.53€,,,,,66.49€,,,,,31.91€,,,,,36.97€,
,Dior B22,LINK,300,46.15$,, Nike Air Max 95,LINK,240,36.92$,,Maison Margiela Replicas,LINK,295,45.38$,,,,,,
,,,,39.89€,,,,,31.91€,,,,,39.23€,,,,,,
,,,,,,,,,,,,,,,,,,,,
,More Gallery Dept T-Shirts,LINK,96,14.77$,,"Trapstar T-Shirts
 (30+ colors)",LINK,124,19.08$,,Gymshark Onyx (so good),LINK,131,20.15$,,Palm Angels Neck T-Shirts,LINK,110,16.92$,
,,,,12.77€,,,,,16.49€,,,,,17.42€,,,,,14.63€,
,Chief Keef Polo Shirts,LINK,120,18.46$,,VLONE T-Shirts,LINK,110,16.92$,,Corteiz T-Shirts,LINK,108,16.62$,,CDG T-Shirts,LINK,131,20.15$,
,,,,15.96€,,,,,14.63€,,,,,14.36€,,,,,17.42€,
,Palm Angels T-Shirts,LINK,119,18.31$,,Syna World Tee's,LINK,120,18.46$,,Barcelona Jerseys,LINK,110,16.92$,,Amiri T-Shirts,LINK,131,20.15$,
,,,,15.82€,,,,,15.96€,,,,,14.63€,,,,,17.42€,
,"Ralph Lauren Bear T-Shirts
",LINK,96,14.77$,,Chrome Hearts Jersey Sets,LINK,158,24.31$,,Gallery Dept T-Shirts,LINK,96,14.77$,,More CDG T-Shirts,LINK,131,20.15$,
,,,,12.77€,,,,,21.01€,,,,,12.77€,,,,,17.42€,
,Nike Reflective T-Shirts,LINK,85,13.08$,,Chrome Hearts Sets #2,LINK,158,24.31$,,"Nike NBA Tank Tops
(15 Styles)",LINK,65,10.00$,,Casablanca Sets,LINK,205,31.54$,
,,,,11.30€,,,,,21.01€,,,,,8.64€,,,,,27.26€,
,Ami Big Logo Sweater,LINK,180,27.69$,,Lots of Essentials Shorts,LINK,104,16.00$,,,,,,,,,,,
,,,,23.94€,,,,,13.83€,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Football Shorts,LINK,128,19.69$,,Corteiz Cargo Shorts,LINK,230,35.38$,,Dior Shorts,LINK,245,37.69$,,Under Armour Shorts,LINK,65,10.00$,
,,,,17.02€,,,,,30.59€,,,,,32.58€,,,,,8.64€,
,Nike Shorts,LINK,194,29.85$,,"Rhude Shorts
(30+ colors)",LINK,108,16.62$,,"Budget Hellstar Shorts
(30+ colors)",LINK,114,17.54$,,Fendi Shorts,LINK,153,23.54$,
,,,,25.80€,,,,,14.36€,,,,,15.16€,,,,,20.35€,
,Trapstar Shorts,LINK,110,16.92$,,More Eric Emanuel Shorts,LINK,57,8.77$,,Corteiz Track Shorts,LINK,170,26.15$,,"NBA Shorts 
(30+ colors)",LINK,128,19.69$,
,,,,14.63€,,,,,7.58€,,,,,22.61€,,,,,17.02€,
,"Eric Emanuel Basic Shorts
 (40+ colors)",LINK,64,9.85$,,Corteiz Jorts,LINK,194,29.85$,,"Stussy Shorts
 (35+ colors)",LINK,98,15.08$,,"Hugo Boss Shorts
 (20+ colors)",LINK,95,14.62$,
